Counterfeit_Weight,Active_Since,Medicine_MRP,SidEffect_Level,Availability_rating,Counterfeit_Sales,Area_Type_DownTown,Area_Type_MidTownResidential,Area_Type_CityLimits,Area_City_Type_Tier_3,Area_City_Type_Tier_2,Area_dist_level_Medium,Area_dist_level_Small,Area_dist_level_High,Medicine_Type_emb1,Medicine_Type_emb2,Medicine_Type_emb3,Active_Since_emb1,Active_Since_emb2,Active_Since_emb3,DistArea_ID_emb1,DistArea_ID_emb2,DistArea_ID_emb3
17.65,1983,118.528,1,0.036402893,326.056,0,1,0,0,0,0,1,0,1.0359707,-1.9486315,7.0863557,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
13.9,2005,182.8764,0,0.044713126,1143.6584,1,0,0,0,1,0,0,0,-1.5805874,4.5278683,3.4247236,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
20.3,1996,238.572,0,0.1861540789999999,565.744,0,1,0,1,0,0,0,0,6.5537252,3.8583255,3.6543558,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
22.55,1985,129.6756,1,0.032407069,3384.7412,1,0,0,1,0,0,0,1,8.280236,-0.6002991,-5.0784025,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
13.3,1995,132.2388,1,0.08854831,3332.8088,1,0,0,0,0,0,1,0,-1.5805874,4.5278683,3.4247236,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
21.65,1996,93.0276,0,0.265865979,275.4552,0,1,0,1,0,0,0,0,3.5103364,-7.3870306,-4.3397183,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
20.05,1985,224.4218,1,0.047278798,4601.1578,1,0,0,1,0,0,0,1,-0.74499774,5.5823555,-7.061555,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
15.45,2002,136.6046,1,0.0509015809999999,2727.5966,1,0,0,0,1,0,1,0,-5.694707,6.263188,-2.2807324,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
19.05,2000,150.2838,0,0.013,2079.7732,1,0,0,0,1,0,0,0,6.5537252,3.8583255,3.6543558,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
13.9,2002,61.0982,1,0.06906697,586.3838,1,0,0,0,1,0,1,0,-4.039393,2.86783,0.572291,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
16.4,2002,253.4512,1,0.065329172,4717.6728,1,0,0,0,1,0,1,0,3.5103364,-7.3870306,-4.3397183,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
11.4,2005,163.7656,1,0.043379382,1966.5872,1,0,0,0,1,0,0,0,7.7442684,-2.543369,3.1540496,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
20.9,1995,115.9964,1,0.0369511489999999,1690.946,1,0,0,0,0,0,1,0,-0.74499774,5.5823555,-7.061555,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
13.4,2000,66.5614,0,0.0742996009999999,665.6139999999999,1,0,0,0,1,0,0,0,-7.892474,-1.155915,0.14407927,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
18.8,2005,182.0738,1,0.111457814,2545.8332,1,0,0,0,1,0,0,0,-7.892474,-1.155915,0.14407927,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
22.0,2002,163.1366,1,0.052238384,2682.3222,1,0,0,0,1,0,1,0,-0.74499774,5.5823555,-7.061555,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
11.6,2007,184.7422,0,0.037998007,3561.844,0,0,0,1,0,1,0,0,-1.5805874,4.5278683,3.4247236,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
13.6,2007,126.7834,1,0.013,1955.9344,0,0,0,1,0,1,0,0,8.280236,-0.6002991,-5.0784025,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
18.3,2007,275.4884,0,0.153090284,6472.7216,0,0,0,1,0,1,0,0,-3.43163,-6.391154,2.5352144,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
8.69,2005,150.7812,1,0.081163102,2535.1804,1,0,0,0,1,0,0,0,7.744269,-2.543369,3.1540496,2.1504216,0.25559282,0.4353765,-3.4934268,-2.966176,-3.2194483
19.65,1996,97.8882,0,0.17083357,284.7764,0,1,0,1,0,0,0,0,6.5537252,3.8583255,3.6543558,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
6.335,1985,236.6036,0,0.092844043,4211.6648,1,0,0,1,0,0,0,1,-3.280408,-6.3894043,-4.0814123,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
13.6,1997,126.2834,1,0.049997104,2186.3012,1,0,0,0,0,1,0,0,8.280236,-0.6002991,-5.0784025,-0.30706668,-1.2751906,-4.0188084,-2.7800827,-1.7669525,4.2437367
19.0,1995,194.6924,0,0.013,4370.1252,1,0,0,0,0,0,1,0,-5.694707,6.263188,-2.2807324,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
12.1,1983,255.7144,1,0.062478259,3788.216,0,0,1,1,0,1,0,0,6.5537252,3.8583255,3.6543558,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
10.51,2000,130.1414,1,0.021782561,1453.2554,1,0,0,0,1,0,0,0,6.5537252,3.8583255,3.6543558,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
22.05,2000,162.2024,1,0.034293097,2845.4432,1,0,0,0,1,0,0,0,-7.892474,-1.155915,0.14407927,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
17.65,1995,208.511,1,0.103562192,2077.11,1,0,0,0,0,0,1,0,-0.74499774,5.5823555,-7.061555,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
16.4,2005,150.8496,1,0.069155909,2794.8424,1,0,0,0,1,0,0,0,-0.74499774,5.5823555,-7.061555,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
11.95,1995,64.3272,1,0.0369714629999999,560.4176,1,0,0,0,0,0,1,0,6.5537252,3.8583255,3.6543558,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
9.05,1985,42.9558,0,0.095861686,792.1160000000001,1,0,0,1,0,0,0,1,-6.8066125,0.26004028,-6.550432,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
8.1,1983,59.2034,1,0.078652494,161.6034,0,1,0,0,0,0,1,0,-1.5805874,4.5278683,3.4247236,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
12.1,2005,254.2144,1,0.063000257,4768.2736,1,0,0,0,1,0,0,0,6.5537252,3.8583255,3.6543558,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
16.9,2005,85.96700000000001,1,0.130574554,1414.639,1,0,0,0,1,0,0,0,-6.8066125,0.26004028,-6.550432,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
7.78,2002,157.3076,1,0.046893487,3216.9596,1,0,0,0,1,0,1,0,8.280236,-0.6002991,-5.0784025,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
20.9,1985,55.377,1,0.060857804,718.878,1,0,0,1,0,0,0,1,7.7442684,-2.543369,3.1540496,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
18.65,1996,187.8712,1,0.2931649289999999,640.3136,0,1,0,1,0,0,0,0,-0.74499774,5.5823555,-7.061555,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
6.785,1985,175.1842,1,0.055716235,2268.1946,1,0,0,1,0,0,0,1,7.7442684,-2.543369,3.1540496,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
10.14,1997,121.0228,0,0.089681143,1770.842,1,0,0,0,0,1,0,0,-6.8066125,0.26004028,-6.550432,-0.30706668,-1.2751906,-4.0188084,-2.7800827,-1.7669525,4.2437367
16.3,2002,239.7694,1,0.131868155,6050.6044,1,0,0,0,1,0,1,0,8.280236,-0.6002991,-5.0784025,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
11.1,2005,137.602,1,0.0399925879999999,2390.036,1,0,0,0,1,0,0,0,3.5103364,-7.3870306,-4.3397183,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
16.55,2002,96.5198,1,0.039604781,723.5386,1,0,0,0,1,0,1,0,8.280236,-0.6002991,-5.0784025,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
10.9,1996,268.66200000000003,1,0.099145867,372.662,0,1,0,1,0,0,0,0,8.280236,-0.6002991,-5.0784025,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
21.55,2000,201.0162,0,0.027823358,1267.4972,1,0,0,0,1,0,0,0,4.4865394,6.151414,-2.181885,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
20.4,1997,243.8958,1,0.10988421,2449.958,1,0,0,0,0,1,0,0,6.5537252,3.8583255,3.6543558,-0.30706668,-1.2751906,-4.0188084,-2.7800827,-1.7669525,4.2437367
17.15,1983,69.822,0,0.225963193,412.61,0,1,0,0,0,0,1,0,-1.5805874,4.5278683,3.4247236,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
19.55,1995,185.008,1,0.057250304,2536.512,1,0,0,0,0,0,1,0,2.2555368,-6.6267414,1.7681491,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
12.9,2002,178.3474,0,0.169802171,4492.6324,1,0,0,0,1,0,1,0,-2.985881,-0.3556211,3.3717196,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
16.4,1983,253.1512,1,0.065085615,5929.4288,0,0,1,1,0,1,0,0,3.5103364,-7.3870306,-4.3397183,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
8.625,1985,103.0146,1,0.106307668,2119.7212,1,0,0,1,0,0,0,1,6.5537252,3.8583255,3.6543558,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
15.3,2002,62.864,0,0.044261583,752.168,1,0,0,0,1,0,1,0,-3.43163,-6.391154,2.5352144,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.46832278
10.23,2002,162.634,1,0.041411899,2256.876,1,0,0,0,1,0,1,0,4.4865394,6.1514144,-2.181885,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.46832278
15.1,1997,257.2802,1,0.071192802,6009.3248,1,0,0,0,0,1,0,0,4.4865394,6.151414,-2.181885,-0.30706668,-1.2751906,-4.0188084,-2.7800827,-1.7669525,4.2437367
8.875,1983,207.0768,1,0.068121892,6025.304,0,0,1,1,0,1,0,0,4.4865394,6.151414,-2.181885,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
14.6,2007,130.7124,1,0.03436022,1890.686,0,0,0,1,0,1,0,0,-1.5805874,4.5278683,3.4247236,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
7.08,1997,157.5102,1,0.027577695,2008.5326,1,0,0,0,0,1,0,0,-7.892474,-1.155915,0.14407927,-0.30706668,-1.2751906,-4.0188084,-2.7800827,-1.7669525,4.2437367
13.45,1985,173.8184,1,0.034705417,3250.2496,1,0,0,1,0,0,0,1,-3.280408,-6.3894043,-4.0814123,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
20.15,1985,200.6846,1,0.0650115,3743.6074,1,0,0,1,0,0,0,1,7.7442684,-2.543369,3.1540496,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
16.0,1996,59.7034,1,0.134012632,307.4136,0,1,0,1,0,0,0,0,6.5537252,3.8583255,3.6543558,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
18.8,1983,150.618,1,0.042299175,252.818,0,1,0,0,0,0,1,0,3.5103364,-7.3870306,-4.3397183,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
17.5,2002,110.67,1,0.076017421,1111.7,1,0,0,0,1,0,1,0,-3.43163,-6.391154,2.5352144,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
11.6,1983,110.0042,1,0.040183141,3981.9638,0,0,1,1,0,1,0,0,6.5537252,3.8583255,3.6543558,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
8.205,2005,108.4726,0,0.051363204,700.2356,1,0,0,0,1,0,0,0,4.4865394,6.151414,-2.181885,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
16.55,2005,96.3198,1,0.039760329,2119.0554,1,0,0,0,1,0,0,0,8.280236,-0.6002991,-5.0784025,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
18.05,2005,96.4856,1,0.14261476,1519.1696,1,0,0,0,1,0,0,0,-3.280408,-6.3894043,-4.0814123,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
7.435,2007,121.586,1,0.092293753,2376.72,0,0,0,1,0,1,0,0,-7.892474,-1.155915,0.14407927,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
7.495,1997,129.6098,1,0.085097449,1318.098,1,0,0,0,0,1,0,0,8.280236,-0.6002991,-5.0784025,-0.30706668,-1.2751906,-4.0188084,-2.7800827,-1.7669525,4.2437367
8.57,2005,102.5488,0,0.033898691,927.9392,1,0,0,0,1,0,0,0,-3.43163,-6.391154,2.5352144,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
17.55,2000,164.5682,0,0.062074897,3467.3004,1,0,0,0,1,0,0,0,6.5537252,3.8583255,3.6543558,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
15.95,2000,61.6666,0,0.112333217,1189.5986,1,0,0,0,1,0,0,0,8.280236,-0.6002991,-5.0784025,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
14.8,1983,199.7872,1,0.177966345,302.0872,0,1,0,0,0,0,1,0,-7.892474,-1.155915,0.14407927,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
9.81,1983,181.7422,0,0.09102465,3561.844,0,0,1,1,0,1,0,0,8.280236,-0.6002991,-5.0784025,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
13.95,1996,202.0846,0,0.140283051,495.1692,0,1,0,1,0,0,0,0,-6.8066125,0.26004028,-6.550432,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
13.45,1985,130.144,1,0.038842905,712.22,1,0,0,1,0,0,0,1,-5.694707,6.263188,-2.2807324,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
10.275,1996,94.4224,0,0.101257771,283.4448,0,1,0,1,0,0,0,0,-3.43163,-6.391154,2.5352144,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
19.15,1996,138.30200000000002,1,0.087422769,366.004,0,1,0,1,0,0,0,0,8.280236,-0.6002991,-5.0784025,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
9.36,1996,240.5326,1,0.048780177,806.0978,0,1,0,1,0,0,0,0,-2.985881,-0.3556211,3.3717196,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
7.455,2007,223.756,0,0.108045476,2669.672,0,0,0,1,0,1,0,0,3.5103364,-7.3870306,-4.3397183,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
17.3,1997,151.5496,1,0.054009558,2794.8424,1,0,0,0,0,1,0,0,8.280236,-0.6002991,-5.0784025,-0.30706668,-1.2751906,-4.0188084,-2.7800827,-1.7669525,4.2437367
12.95,2002,197.224,1,0.053507228,2350.088,1,0,0,0,1,0,1,0,6.5537252,3.8583255,3.6543558,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
15.1,2005,86.5012,0,0.07757046,1782.8264,1,0,0,0,1,0,0,0,6.5537252,3.8583255,3.6543558,2.1504216,0.25559276,0.43537644,-3.4934268,-2.966176,-3.2194483
13.6,1995,84.038,1,0.022410528,1431.284,1,0,0,0,0,0,1,0,-1.5805874,4.5278683,3.4247236,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
11.6,1995,123.4176,0,0.043569229,4808.2216,1,0,0,0,0,0,1,0,6.5537252,3.8583255,3.6543558,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
16.9,2007,180.2764,0,0.118725004,2861.4224,0,0,0,1,0,1,0,0,8.280236,-0.6002991,-5.0784025,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
6.765,1995,139.4626,0,0.013,3785.5528,1,0,0,0,0,0,1,0,-1.5805874,4.5278683,3.4247236,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
17.0,1996,191.666,1,0.088661985,292.766,0,1,0,1,0,0,0,0,-6.8066125,0.26004028,-6.550432,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
12.15,2000,127.4808,1,0.041738058,816.0848,1,0,0,0,1,0,0,0,-0.74499774,5.5823555,-7.061555,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
19.55,1995,207.1452,1,0.013,3440.6684,1,0,0,0,0,0,1,0,-6.8066125,0.26004028,-6.550432,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
20.55,1995,152.0496,0,0.047699737,4206.3384,1,0,0,0,0,0,1,0,-3.43163,-6.391154,2.5352144,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
22.55,1985,186.037,1,0.1682503769999999,2230.244,1,0,0,1,0,0,0,1,8.280236,-0.6002991,-5.0784025,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
12.1,2007,248.4564,1,0.013,5356.8408,0,0,0,1,0,1,0,0,-7.892474,-1.155915,0.14407927,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
10.8,2000,43.69,1,0.054971264,845.38,1,0,0,0,1,0,0,0,-7.892474,-1.155915,0.14407927,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
18.15,1995,192.7266,1,0.057414056,2141.6926,1,0,0,0,0,0,1,0,6.5537252,3.8583255,3.6543558,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
14.4,1983,188.8318,0,0.013,293.4318,0,1,0,0,0,0,1,0,6.5537252,3.8583255,3.6543558,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
8.775,2007,251.9854,1,0.162125615,6155.135,0,0,0,1,0,1,0,0,6.5537252,3.8583255,3.6543558,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
10.365,2007,105.6094,1,0.128799592,1826.7692,0,0,0,1,0,1,0,0,-6.8066125,0.26004028,-6.550432,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
10.3,2000,47.319,1,0.052004193,772.1419999999999,1,0,0,0,1,0,0,0,-7.892474,-1.155915,0.14407927,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
9.155,2002,47.3848,0,0.1745168939999999,560.4176,1,0,0,0,1,0,1,0,-1.5805874,4.5278683,3.4247236,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
13.1,2002,230.6772,0,0.120036943,4560.544,1,0,0,0,1,0,1,0,4.4865394,6.151414,-2.181885,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
21.9,1983,220.8244,0,0.043362777,6888.1808,0,0,1,1,0,1,0,0,4.4865394,6.151414,-2.181885,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
7.08,1983,172.9552,1,0.1089194719999999,5798.932,0,0,1,1,0,1,0,0,-3.280408,-6.3894043,-4.0814123,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
8.22,2000,70.8852,1,0.051532062,1427.2892,1,0,0,0,1,0,0,0,4.4865394,6.151414,-2.181885,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
12.6,1995,258.1118,1,0.069434817,3077.1416,1,0,0,0,0,0,1,0,-1.5805874,4.5278683,3.4247236,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
16.0,1995,58.5034,1,0.08529836,987.8612,1,0,0,0,0,0,1,0,6.5537252,3.8583255,3.6543558,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
22.55,2007,157.0102,1,0.037756031,1716.9122,0,0,0,1,0,1,0,0,-0.74499774,5.5823555,-7.061555,-2.1401,0.10898185,-3.8791368,1.9970591,0.7128971,-0.36974487
21.55,2000,229.6482,1,0.049399734,8436.8316,1,0,0,0,1,0,0,0,4.4865394,6.151414,-2.181885,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
16.9,1983,182.9764,0,0.197359831,971.882,0,1,0,0,0,0,1,0,8.280236,-0.6002991,-5.0784025,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
8.015,2002,54.0454,0,0.134563385,658.2902,1,0,0,0,1,0,1,0,-1.5805874,4.5278683,3.4247236,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
18.4,1983,178.0842,1,0.080824456,278.7842,0,1,0,0,0,0,1,0,-0.74499774,5.5823555,-7.061555,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
13.95,1983,241.901,1,0.04823927,6085.226,0,0,1,1,0,1,0,0,-1.5805874,4.5278683,3.4247236,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
11.4,1995,252.0512,1,0.180155198,5444.7264,1,0,0,0,0,0,1,0,-7.892474,-1.155915,0.14407927,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
15.1,2002,118.3254,1,0.02626146,872.6778,1,0,0,0,1,0,1,0,-3.43163,-6.391154,2.5352144,-1.9164728,2.9293094,0.31330356,-5.173937,-5.5131493,0.4683228
19.5,1995,53.3086,1,0.1760961389999999,871.3462,1,0,0,0,0,0,1,0,7.7442684,-2.543369,3.1540496,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
15.3,1983,63.764,0,0.054754584,1710.92,0,0,1,1,0,1,0,0,8.280236,-0.6002991,-5.0784025,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
21.5,1983,134.9046,1,0.124777297,2976.6058,0,0,1,1,0,1,0,0,-0.74499774,5.5823555,-7.0615544,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
15.8,1983,169.3262,0,0.183186628,272.1262,0,1,0,0,0,0,1,0,8.280236,-0.6002991,-5.0784025,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
21.65,1997,137.9678,1,0.052329257,3037.8594,1,0,0,0,0,1,0,0,-0.74499774,5.5823555,-7.061555,-0.30706668,-1.2751906,-4.0188084,-2.7800827,-1.7669525,4.2437367
20.9,1985,113.4964,1,0.036931217,849.3748,1,0,0,1,0,0,0,1,-0.74499774,5.5823555,-7.061555,-0.13457668,3.735938,2.4147909,4.0118995,-1.7153711,-0.18168923
14.45,1983,170.7604,1,0.175248011,429.9208,0,1,0,0,0,0,1,0,-0.74499774,5.5823555,-7.061555,1.9328918,-2.691388,-3.349833,-0.9496443,0.40935123,-0.69843507
9.155,1995,199.8188,1,0.024261165,2017.188,1,0,0,0,0,0,1,0,-3.43163,-6.391154,2.5352144,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
9.72,1995,73.5168,1,0.12527101,816.0848,1,0,0,0,0,0,1,0,7.7442684,-2.543369,3.1540496,1.0012974,-1.1610682,-0.7432307,-0.16605747,1.4687322,0.4057746
20.55,1983,152.5496,0,0.047531702,2512.5432,0,0,1,1,0,1,0,0,-3.43163,-6.391154,2.5352144,1.9328918,-2.691388,-3.349833,1.619034,-3.5405521,-4.7898126
10.495,1996,192.5634,1,0.193588082,476.5268,0,1,0,1,0,0,0,0,8.280236,-0.6002991,-5.0784025,-0.78594923,1.4671109,-1.9783245,-1.2443433,0.3080721,1.88968
12.8,2000,139.5626,1,0.030678008,1818.1138,1,0,0,0,1,0,0,0,7.7442684,-2.543369,3.1540496,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
19.65,2000,101.7462,1,0.112309997,1778.8316,1,0,0,0,1,0,0,0,6.5537252,3.8583255,3.6543558,1.340862,1.957803,2.0810766,-0.4176228,-6.2425666,-0.5364022
